GENDER,JOB,INTERNET,TV,COMPUTER,CAR,PEOPLE_HOUSE,SCHOOL_TYPE,SCHOOL_NAT,ACADEMIC_PROGRAM,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,FEP_PRO
F,No,Yes,No,Yes,No,5,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,75,59,59,73,62,99,84,98,69,13,98
M,No,Yes,No,Yes,No,3,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,80,67,64,86,82,94,89,91,97,80,91
M,No,Yes,Yes,Yes,No,5,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,96,61,58,75,62,96,85,57,52,100,57
F,No,Yes,Yes,No,Yes,4,TECHNICAL/ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,62,68,64,66,57,78,81,87,53,0,87
F,No,Yes,Yes,Yes,No,4,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,66,74,67,72,59,90,63,70,78,76,70
F,No,Yes,No,Yes,No,3,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,62,67,81,62,45,83,86,89,67,54,89
M,No,No,No,Yes,No,3,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,66,60,58,66,60,100,95,99,84,19,99
F,No,Yes,Yes,Yes,No,3,TECHNICAL/ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,59,85,77,71,75,41,86,91,96,15,91
M,No,Yes,Yes,Yes,No,7,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,74,66,90,70,80,95,72,96,80,24,96
F,No,Yes,Yes,Yes,No,5,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,71,67,69,70,71,95,92,84,60,29,84
F,No,Yes,Yes,No,No,3,TECHNICAL/ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,62,77,64,59,76,97,87,82,97,75,82
F,No,No,No,No,No,6,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,76,76,74,69,65,88,95,92,71,77,92
M,No,Yes,Yes,Yes,No,5,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,81,74,73,75,65,89,86,91,90,100,91
F,No,Yes,Yes,Yes,No,5,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,71,69,62,69,65,83,90,75,74,81,75
F,No,Yes,Yes,Yes,Yes,5,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,71,81,70,64,76,99,96,94,93,66,94
F,No,Yes,No,Yes,No,4,TECHNICAL/ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,64,64,69,61,64,76,61,75,71,61,75
M,Yes,No,No,No,No,NA,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,60,74,72,74,64,95,85,93,5,6,93
F,No,Yes,Yes,Yes,No,4,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,87,71,60,78,64,97,90,93,81,91,93
F,No,Yes,Yes,Yes,Yes,3,TECHNICAL/ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,71,82,73,77,82,93,89,95,90,12,95
M,NA,Yes,Yes,No,No,4,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,58,67,61,67,73,83,58,40,76,100,40
F,No,No,Yes,Yes,No,5,TECHNICAL/ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,66,66,83,79,67,95,83,78,86,74,78
M,No,Yes,Yes,Yes,No,4,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,62,58,64,58,46,97,82,99,71,52,99
F,No,Yes,Yes,No,Yes,5,TECHNICAL/ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,57,50,58,48,52,58,52,27,59,57,27
M,No,Yes,Yes,No,No,4,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,70,68,66,68,67,83,64,19,83,55,19
F,No,Yes,Yes,Yes,No,3,TECHNICAL,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,69,69,60,68,82,96,83,91,97,17,91
M,No,Yes,Yes,No,Yes,4,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,68,74,77,67,53,95,91,83,34,87,83
F,No,Yes,Yes,Yes,Yes,4,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,74,74,77,87,78,94,92,88,92,94,88
M,No,Yes,Yes,No,No,6,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,57,72,69,54,73,87,90,97,88,82,97
F,No,Yes,Yes,Yes,No,4,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,74,70,66,83,58,100,96,77,72,40,77
F,No,Yes,Yes,Yes,No,4,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,76,56,67,57,65,91,88,37,77,86,37
M,No,Yes,Yes,Yes,No,5,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,74,72,62,59,45,65,55,37,16,19,37
M,No,Yes,Yes,Yes,No,4,TECHNICAL/ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,69,60,65,64,58,96,89,92,89,49,92
M,No,No,No,Yes,No,5,TECHNICAL/ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,80,64,66,79,65,98,95,67,90,0,67
F,No,No,No,No,No,2,TECHNICAL/ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,66,67,77,69,57,96,63,48,84,25,48
F,No,Yes,Yes,Yes,Yes,8,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,64,66,67,65,55,84,99,90,74,4,90
F,No,No,Yes,Yes,No,5,ACADEMIC,PUBLIC,CATASTRAL ENGINEERING AND GEODESY,70,77,91,72,72,97,95,93,95,84,93
M,No,Yes,Yes,Yes,No,5,ACADEMIC,PRIVATE,CATASTRAL ENGINEERING AND GEODESY,73,71,70,69,82,100,86,88,98,26,88
